editId	srclang	trglang	srcIndex	documentId	segmentId	editorId	system1Number	system1Id	system1actionVal	system1actionStr	system1edit
11	Spanish	English	297	lidovky.cz/2009/12/10/75462	3	A23KO2TP7I4KK2	24	jhu	1	EDIT	The role of the world-renowned leader of the struggle against apartheid is played by Morgan Freeman, who dreamed for years of portraying Mandela.
12	Spanish	English	298	lidovky.cz/2009/12/10/75462	4	A23KO2TP7I4KK2	24	jhu	1	EDIT	The second role, the legendary rugby champion Françoise Pienaar, is played by Matt Damon.
13	Spanish	English	299	lidovky.cz/2009/12/10/75462	5	A23KO2TP7I4KK2	24	jhu	1	EDIT	The premiere gave raise to reactions for the critics and the public.
14	Spanish	English	300	lidovky.cz/2009/12/10/75462	6	A23KO2TP7I4KK2	24	jhu	2	OK	Nelson Mandela
15	Spanish	English	301	lidovky.cz/2009/12/10/75462	7	A23KO2TP7I4KK2	24	jhu	1	EDIT	His full name is Nelson Mandela Rolihlahla.  He was born on July 18, 1918 in Mvezo, South Africa.
16	Spanish	English	316	lidovky.cz/2009/12/10/75462	22	A23KO2TP7I4KK2	46	uedin	1	EDIT	It still remains to be seen if it will improve the tense situation in the RSA.
17	Spanish	English	317	lidovky.cz/2009/12/10/75462	23	A23KO2TP7I4KK2	46	uedin	1	EDIT	White South Africans, however, are skeptical.  For example in a recent interview for LN an amateur rugby Christopher Dawson, said that he fled his country for Britain.
18	Spanish	English	318	lidovky.cz/2009/12/10/75462	24	A23KO2TP7I4KK2	46	uedin	1	EDIT	The tournament starts on June 11, 2010.
19	Spanish	English	319	lidovky.cz/2009/12/10/75456	1	A23KO2TP7I4KK2	46	uedin	1	EDIT	A transformer fire in Lounsko causes tens of millions of kroner damage
20	Spanish	English	320	lidovky.cz/2009/12/10/75456	2	A23KO2TP7I4KK2	46	uedin	1	EDIT	The fire started in the morning in a switching box at a factory belonging to the company Čeps near the village Výškov in Lounsko.
21	Czech	English	622	washpost/2009/12/12/79411	14	A2L6AMWVCFL7SJ	25	jhu-combo	3	BAD	not to be widely known person for some Americans, but that in no way neponioval that before us and our allies posed, said another official.
22	Czech	English	623	washpost/2009/12/12/79411	15	A2L6AMWVCFL7SJ	25	jhu-combo	1	EDIT	When his death was confirmed, the Somali should be the second senior leader of al-Qaida or the Taliban which should be killed since September, when in a similar attack killed Najmudin Jalolov, leader of the militant factions in the Gaza tribes and three other top leaders poperativn.
23	Czech	English	624	washpost/2009/12/12/79411	16	A2L6AMWVCFL7SJ	25	jhu-combo	2	OK	The pace of attacks launched by the CIA aircraft has been since the summer from an average of approximately six operations per month to two, according to the long war, web pages, managed by the nonprofit group.
24	Czech	English	625	washpost/2009/12/12/79411	17	A2L6AMWVCFL7SJ	25	jhu-combo	1	EDIT	Reduction may be the reason for the improved tactics of terrorist groups that have taken steps to reduce their vulnerability by  ruthless killing of persons who were suspected of being informers, said Page.
25	Czech	English	626	washpost/2009/12/12/79410	1	A2L6AMWVCFL7SJ	25	jhu-combo	1	EDIT	Delegates of the United Nations in Kabul.
26	Czech	English	4	idnes.cz/2009/12/11/76492	4	A2L6AMWVCFL7SJ	2	aalto	1	EDIT	It is therefore in the Giant Mountains, free room are still available during all winter terms, including the Christmas and New Year's Eve.
27	Czech	English	5	idnes.cz/2009/12/11/76492	5	A2L6AMWVCFL7SJ	2	aalto	1	EDIT	We have a very big Christmas tree at our website .
28	Czech	English	6	idnes.cz/2009/12/11/76492	6	A2L6AMWVCFL7SJ	2	aalto	3	BAD	People are experiencing offer, finding prices, but so far the závazně objednávat.
29	Czech	English	7	idnes.cz/2009/12/11/76492	7	A2L6AMWVCFL7SJ	2	aalto	3	BAD	And if the US, so I ask, if we are this Christmas on snow, or on the mud, "said the operator information portal spindl.info Martin jandura.
30	Czech	English	8	idnes.cz/2009/12/11/76492	8	A2L6AMWVCFL7SJ	2	aalto	3	BAD	Who wants to silvestrovský stay in spindlerův of exactly, in accordance with their wishes, I would have disappeared hesitate.
31	Czech	English	1366	frankfurter-rundschau/2009/12/10/99503	10	A2L6AMWVCFL7SJ	2	aalto	2	OK	The poet Werner söllner is a secret agent Walter.
32	Czech	English	1367	frankfurter-rundschau/2009/12/10/99503	11	A2L6AMWVCFL7SJ	2	aalto	2	OK	Almost at the same time as the Nobel laureate hertě müllerové and its bezpříkladným literárním addressing mechanisms dictatorial government is the scene, and especially Community German authors originating in Romania, shaken case, which indicates the deep and disgrace political system, which is based on the control and špicování.
33	Czech	English	1368	frankfurter-rundschau/2009/12/10/99503	12	A2L6AMWVCFL7SJ	2	aalto	2	OK	Werner söllner is not, at least if it can be said in the current state of knowledge, only the perpetrator, but it is also the victims.
34	Czech	English	1369	frankfurter-rundschau/2009/12/10/99503	13	A2L6AMWVCFL7SJ	2	aalto	2	OK	The Securitate played a secret agent Walter some role, he said after söllnerově granting Michael Markel, and had left on the positive influence on secret agent Walter.
35	Czech	English	1370	frankfurter-rundschau/2009/12/10/99503	14	A2L6AMWVCFL7SJ	2	aalto	3	BAD	"vysekával" me on all the essential points, says Markel.
36	Czech	English	927	lesechos/2009/12/10/218324	3	A2L6AMWVCFL7SJ	2	aalto	2	OK	About forty "Ladies in White," or close political prisoners was vypískáno directly on the street supporters of the regime raula Castro's Cuba in their marching towards the centre of the capital city with the requirement for the release of political prisoners, informed the journalist.
37	Czech	English	928	lesechos/2009/12/10/218324	4	A2L6AMWVCFL7SJ	2	aalto	2	OK	Down with the Yankees! "mercenaries!", "street are revolutionaries!", "long live Fidel and Raul!" chanted the zdvihnutou fist advocates of regime on dissidents.
38	Czech	English	929	lesechos/2009/12/10/218324	5	A2L6AMWVCFL7SJ	2	aalto	1	EDIT	Dissidents were eventually escorted and Members in civilian life arrived "to ensure security."
39	Czech	English	930	lesechos/2009/12/10/218324	6	A2L6AMWVCFL7SJ	2	aalto	3	BAD	The day before that occurred in Havana to similar manifestaci against "Ladies in White," but in her to zraněním, nor to arrest.
40	Czech	English	931	lesechos/2009/12/10/218324	7	A2L6AMWVCFL7SJ	2	aalto	1	EDIT	But in havana-leaf was vedado area are members of the police as civilian, about ten dissidents, who also proceeded in Thursday's manifest on the occasion of  world on human rights, the journalist AFP.
41	Czech	English	1497	spiegel/2009/12/12/73257	30	A2L6AMWVCFL7SJ	38	onlineB	1	EDIT	who started LSD?
42	Czech	English	1498	spiegel/2009/12/12/73257	31	A2L6AMWVCFL7SJ	38	onlineB	2	OK	Its diagnosis is schizoaffective paranoid psychosis, manic, it also takes medication for depression, mania, schizophrenia.
43	Czech	English	1499	spiegel/2009/12/12/73257	32	A2L6AMWVCFL7SJ	38	onlineB	1	EDIT	He learned to live with the disease, three years  married.
44	Czech	English	1500	spiegel/2009/12/12/73257	33	A2L6AMWVCFL7SJ	38	onlineB	2	OK	In psychosis, I experienced the worst fears and deepest doubts, he says.
45	Czech	English	1501	spiegel/2009/12/12/73257	34	A2L6AMWVCFL7SJ	38	onlineB	1	EDIT	Ghosts are a horrible reality.
46	Czech	English	1161	lesechos/2009/12/11/218643	23	A2L6AMWVCFL7SJ	38	onlineB	2	OK	Organization FNTR speaks of "bad business" for 100 million euros "have already been offered in the sector, offsetting the carbon tax."
47	Czech	English	1162	lesechos/2009/12/11/218643	24	A2L6AMWVCFL7SJ	38	onlineB	2	OK	Secretary of State for Transport we forced the emergency meeting not as a result of an analysis, but to anger turkey eaters during the Christmas holidays approaching, she complained Unostra.
48	Czech	English	1163	lesechos/2009/12/11/218643	25	A2L6AMWVCFL7SJ	38	onlineB	3	BAD	For wipes his organization threatens the agreement in the coming 12th months "bury a large number of small and medium-sized enterprises in the field.
49	Czech	English	1164	lesechos/2009/12/11/218642	1	A2L6AMWVCFL7SJ	38	onlineB	1	EDIT	RER suburban trains A: Due to interruption of traffic on the weekend, unions unhappy with the proposals of the transport company RATP.
50	Czech	English	1165	lesechos/2009/12/11/218642	2	A2L6AMWVCFL7SJ	38	onlineB	2	OK	Interruption of service, suburban train RER A, which is the largest line of urban public transport in France, will continue over the weekend, because Friday's meeting between unions and management RATP second day of strike action had resulted in concrete results in otázcežádosti the premium.
51	Czech	English	549	washpost/2009/12/12/79420	11	A2L6AMWVCFL7SJ	1	_ref	2	OK	Although the scores achieved by children in both groups have increased during this period, the difference has barely narrowed to 58.
52	Czech	English	550	washpost/2009/12/12/79420	12	A2L6AMWVCFL7SJ	1	_ref	2	OK	Some education advocates in the District expressed concern last week that the gains celebrated by Chancellor Michelle A. Rhee and Mayor Adrian M. Fenty (D) were propelled largely by white students who are already high achievers.
53	Czech	English	551	washpost/2009/12/12/79420	13	A2L6AMWVCFL7SJ	1	_ref	2	OK	It would suggest that we've raised the aggregate by treating those at the higher end of the scale, which is problematic and troublesome, said Jeff Smith, executive director of D.C. Voice, a nonprofit group that advocates for educational equality in the District.
54	Czech	English	552	washpost/2009/12/12/79420	14	A2L6AMWVCFL7SJ	1	_ref	2	OK	I'm not jumping up and down about a two- or three-point spread, said D.C. Council member Kwame R. Brown (D-At Large), who has a daughter in the fourth grade at Eaton Elementary.
55	Czech	English	553	washpost/2009/12/12/79420	15	A2L6AMWVCFL7SJ	1	_ref	2	OK	A frequent critic of Rhee's management style, Brown said the message of the test scores is that the city's middle schools are in desperate need of attention.
56	Czech	English	1772	elmundo/2009/12/11/10121	3	A2L6AMWVCFL7SJ	43	rwth-combo	3	BAD	More than "Bad Girl" or "It Girl ", it's' Bag Girl ".
57	Czech	English	1773	abces/2009/12/10/200784	1	A2L6AMWVCFL7SJ	43	rwth-combo	1	EDIT	Baskonia nadělila finally tasted victory in Israel
58	Czech	English	1774	abces/2009/12/10/200784	2	A2L6AMWVCFL7SJ	43	rwth-combo	3	BAD	Working pokladnazískala brilliant victory in 82 - 91 in its host to complicated field Maccabi Electra, despite many Absence of the cooperative Duska Ivanovice, and thus became the leader of their group after a great performance Teletovice Mirza, with eight triple points vyhlášenza the best in the team (29 trials).
59	Czech	English	1775	abces/2009/12/10/200784	3	A2L6AMWVCFL7SJ	43	rwth-combo	3	BAD	Cooperative Vitoria-stitute significant nepřítomnostHerrmanna, Olesona, Huertase or micova much dose of and collective work, although it had to suffer until the end, to obtain victory.
60	Czech	English	1776	abces/2009/12/10/200784	4	A2L6AMWVCFL7SJ	43	rwth-combo	1	EDIT	In addition, the accuracy from the ring with 16 triple points were very important for the final triumph.
61	Czech	English	114	lidovky.cz/2009/12/10/75486	2	A2L6AMWVCFL7SJ	15	cu-zeman	1	EDIT	South africans argue that the new hollywood film invictus: depicts much about the country of its struggle,  despite some critiques, that the main role ztvárňují american actors.
62	Czech	English	115	lidovky.cz/2009/12/10/75486	3	A2L6AMWVCFL7SJ	15	cu-zeman	3	BAD	The story of the tell about the sport, racial circumstances, and nelson mandela.
63	Czech	English	116	lidovky.cz/2009/12/10/75486	4	A2L6AMWVCFL7SJ	15	cu-zeman	3	BAD	Neúnavného fighter against the regime 's rasistickému apartheid in south africa, and its first of a black president nelson mandelu in his oscarový represents the story of the us the actor morgan freeman have.
64	Czech	English	117	lidovky.cz/2009/12/10/75486	5	A2L6AMWVCFL7SJ	15	cu-zeman	3	BAD	Freeman have said that it jednadevadesátiletý mandela asked whether, it could ztvárnit in eastwoodově movie.
65	Czech	English	118	lidovky.cz/2009/12/10/75486	6	A2L6AMWVCFL7SJ	15	cu-zeman	1	EDIT	Another major, plays a role in  matt damon.
66	Czech	English	1702	elmundo/2009/12/10/10096	4	A2L6AMWVCFL7SJ	15	cu-zeman	2	OK	And to the shock of the old mrs. after this incident, when the procházce encounter with these individui, began to fear for their own security, because such a devil obsessed with one, which have animal, is able to do the same, and a woman, a child, the old one or komukoli, who is weaker than on himself.
67	Czech	English	1703	elmundo/2009/12/10/10096	5	A2L6AMWVCFL7SJ	15	cu-zeman	1	EDIT	This has happened in five hours afternoon, on Tuesday , which usually is a quiet district.
68	Czech	English	1704	elmundo/2009/12/10/10096	6	A2L6AMWVCFL7SJ	15	cu-zeman	3	BAD	Proplakal pejsek the day.
69	Czech	English	1705	elmundo/2009/12/10/10096	7	A2L6AMWVCFL7SJ	15	cu-zeman	3	BAD	We did complaint in the near komisařství, of course, but pochybujeme, that something was to to, and to nevyvolávali delicate issues, konstatujeme, that these cowardly killer were the spanish nationality.
70	Czech	English	1706	elmundo/2009/12/10/10096	8	A2L6AMWVCFL7SJ	15	cu-zeman	0	N/A	Outrage forced us to announce this fact.
71	French	English	1294	frankfurter-rundschau/2009/12/10/99511	5	A2L6AMWVCFL7SJ	46	uedin	2	OK	Peter Frey, who directs the drafting in Berlin on ZDF was the odds-on favorite.
72	French	English	1295	frankfurter-rundschau/2009/12/10/99511	6	A2L6AMWVCFL7SJ	46	uedin	2	OK	The chain has not, however, wished to confirm - officially - the vote so as not to pre-empt the procedure.
73	French	English	1296	frankfurter-rundschau/2009/12/10/99511	7	A2L6AMWVCFL7SJ	46	uedin	2	OK	However, it appears that there was also a desire not to further undermine the steward of ZDF Markus Schächter in cases where the proposal would not be accepted by the Administrative Council.
74	French	English	1297	frankfurter-rundschau/2009/12/10/99511	8	A2L6AMWVCFL7SJ	46	uedin	2	OK	Frey, who is the candidate of Schächter, needed the vote of 9 members of the Commission on 14.
75	French	English	1298	frankfurter-rundschau/2009/12/10/99511	9	A2L6AMWVCFL7SJ	46	uedin	2	OK	The result of the vote was not yet known at the closing of the writing of this edition.
76	French	English	91	lidovky.cz/2009/12/10/75493	14	A2L6AMWVCFL7SJ	36	nrc	1	EDIT	In the discharge of its policy, he added that in certain situations the war is essential to achieve peace, even if the price is high.
77	French	English	92	lidovky.cz/2009/12/10/75487	1	A2L6AMWVCFL7SJ	36	nrc	3	BAD	The minister Janota plans to resign. Klaus called the Château
78	French	English	93	lidovky.cz/2009/12/10/75487	2	A2L6AMWVCFL7SJ	36	nrc	3	BAD	The President Václav Klaus will receive Friday morning Finance Minister Eduard Janota, which weighs his stay in government because of its disagreement with the state budget for the next year as it was passed by the Chamber of Deputies
79	French	English	94	lidovky.cz/2009/12/10/75487	3	A2L6AMWVCFL7SJ	36	nrc	1	EDIT	It is estimated that the budget, and also the position of Janota cabinet will be on the agenda of the meeting on Friday.
80	French	English	95	lidovky.cz/2009/12/10/75487	4	A2L6AMWVCFL7SJ	36	nrc	0	N/A	Klaus also criticizes the budget.
81	French	English	327	lidovky.cz/2009/12/10/75456	9	A2L6AMWVCFL7SJ	34	lium-combo	2	OK	She added that in 10 years of activity, the company Čeps has experienced anything similar, and that the incidents are isolated.
82	French	English	328	lidovky.cz/2009/12/10/75456	10	A2L6AMWVCFL7SJ	34	lium-combo	1	EDIT	" Supplies were not interrupted", said the spokesman ČEZ for Northern Bohemia Soňa Holingerova Hendrychova, the functioning of homes, government and industry has not been influenced by the fire of the station
83	French	English	329	lidovky.cz/2009/12/10/75456	11	A2L6AMWVCFL7SJ	34	lium-combo	3	BAD	A.s. Čeps is the exclusive operator on the Czech territory sets of transmission and power lines of 400 kV and 220 kV.
84	French	English	330	lidovky.cz/2009/12/10/75456	12	A2L6AMWVCFL7SJ	34	lium-combo	2	OK	It maintains and develops renovating 39 posts with 67 transformers transferring electricity since sets of to distribution and sets of lines with a length of 4339 kilometres.
85	French	English	331	lidovky.cz/2009/12/10/75424	1	A2L6AMWVCFL7SJ	34	lium-combo	1	EDIT	Jančura will sue for defamation against three prefects to the ČSSD.
86	French	English	1344	frankfurter-rundschau/2009/12/10/99509	26	A2L6AMWVCFL7SJ	18	dfki	1	EDIT	starting from  2010, the government wishes to put down an amendment to the Parliament to the law on higher education institutions .
87	French	English	1345	frankfurter-rundschau/2009/12/10/99509	27	A2L6AMWVCFL7SJ	18	dfki	3	BAD	With reference to that it will not be needed to go by more than only one examination to clore their studies.
88	French	English	1346	frankfurter-rundschau/2009/12/10/99509	28	A2L6AMWVCFL7SJ	18	dfki	1	EDIT	Organisation of studies will have to be more flexible,  It is should be able to guarantee the gratitude of the summaries of bills of other institutions superior and access to the must be simplified.
89	French	English	1347	frankfurter-rundschau/2009/12/10/99509	29	A2L6AMWVCFL7SJ	18	dfki	3	BAD	Of here the end of next year, the, l"étudiabilité" of all the academic cycles will have of the to be examined.
90	French	English	1348	frankfurter-rundschau/2009/12/10/99509	30	A2L6AMWVCFL7SJ	18	dfki	2	OK	Last Thursday, the government and the opposition have again discussed the question of the conditions of studies in the country.
91	French	English	83	lidovky.cz/2009/12/10/75493	6	A2L6AMWVCFL7SJ	37	onlineA	2	OK	The last winner received the Nobel Prize, American Elinor Ostrom with his countryman Oliver Williamson, for their analysis of economic governance.
92	French	English	84	lidovky.cz/2009/12/10/75493	7	A2L6AMWVCFL7SJ	37	onlineA	2	OK	The only technical discipline that has not been winner this year was physics.
93	French	English	85	lidovky.cz/2009/12/10/75493	8	A2L6AMWVCFL7SJ	37	onlineA	2	OK	This award was presented today to Charles Kao scientists for its research in the field of optical fibres and George Smith avecWillard Boyle for their invention of CCD, bullets that are currently at the base of all devices digital camera, fax, or astronomical glasses.
94	French	English	86	lidovky.cz/2009/12/10/75493	9	A2L6AMWVCFL7SJ	37	onlineA	2	OK	Each winner received the diploma, the medal Nobel and the acquisition of the pecuniary reward certificate.
95	French	English	87	lidovky.cz/2009/12/10/75493	10	A2L6AMWVCFL7SJ	37	onlineA	2	OK	It reached ten million Swedish kronor in each category. (approximately 1.1 million EUR)
96	French	English	1416	frankfurter-rundschau/2009/12/10/9949	32	A2L6AMWVCFL7SJ	41	rali	2	OK	In any cast, they agreed to everything else, that is to say that without the group's prior work by the coach replaced, the strong and combative sports representation would not have been possible.
97	French	English	1417	frankfurter-rundschau/2009/12/10/9949	33	A2L6AMWVCFL7SJ	41	rali	2	OK	Babbel and his assistants were "largely in the success" replied Heldt and Lehmann in choir - and even the man in plastic bag obliged.
98	French	English	1418	spiegel/2009/12/12/73268	1	A2L6AMWVCFL7SJ	41	rali	1	EDIT	The world heavyweight championship is great.
99	French	English	1419	spiegel/2009/12/12/73268	2	A2L6AMWVCFL7SJ	41	rali	2	OK	Hot combat in Berne: Kevin Johnson the challenger constantly verbally and gestuellement was the world champion Vitali Klitschko.
100	French	English	1420	spiegel/2009/12/12/73268	3	A2L6AMWVCFL7SJ	41	rali	1	EDIT	But after twelve rounds of difficulty, the Ukrainian defended his title of world champion of heavy goods vehicles from the WBC version of the federation.
101	French	English	1325	frankfurter-rundschau/2009/12/10/99509	7	A2L6AMWVCFL7SJ	46	uedin	1	EDIT	The Länder have also committed to organise common structural requirements more flexible for the vocational Bachelor and Master.
102	French	English	1326	frankfurter-rundschau/2009/12/10/99509	8	A2L6AMWVCFL7SJ	46	uedin	1	EDIT	At the regional level, there should not be different rules and regulations of a Land.
103	French	English	1327	frankfurter-rundschau/2009/12/10/99509	9	A2L6AMWVCFL7SJ	46	uedin	3	BAD	Less of reviews
104	French	English	1328	frankfurter-rundschau/2009/12/10/99509	10	A2L6AMWVCFL7SJ	46	uedin	3	BAD	Since the beginning of the student protests last June, the Minister of Education of the Länder and the university rectors have repeatedly in the mouth the buzzword: "Étudiabilité."
105	French	English	1329	frankfurter-rundschau/2009/12/10/99509	11	A2L6AMWVCFL7SJ	46	uedin	1	EDIT	But for the first time, this expression appears to take a specific meaning.
106	French	English	1099	lesechos/2009/12/11/218646	6	A2L6AMWVCFL7SJ	18	dfki	1	EDIT	The suicides at France Telecom, PSA or Renault are only the part emerged from a much more general phenomenon that touches in particular the frames.
107	French	English	1100	lesechos/2009/12/11/218646	7	A2L6AMWVCFL7SJ	18	dfki	2	OK	This demobilization compromises seriously the development of all intellectual functions of the company, notably of the R&amp;D and, more still, of the economic sense.
108	French	English	1101	lesechos/2009/12/11/218646	8	A2L6AMWVCFL7SJ	18	dfki	3	BAD	Indeed, l'IE "requires all setting parts (...) a proactive approach and a prospective vision"; it requires on behalf of employees a commitment that the proceeds of crime authoritarian management totally annoy.
109	French	English	1102	lesechos/2009/12/11/218646	9	A2L6AMWVCFL7SJ	18	dfki	3	BAD	It is why we call to a revolution managériale that would consist in putting the staff to at the heart of the concerns of the firm to in the same way as the customer.
110	French	English	1103	lesechos/2009/12/11/218646	10	A2L6AMWVCFL7SJ	18	dfki	3	BAD	The very relative usefulness of internal investigations of opinion
111	French	English	1741	elmundo/2009/12/11/10125	1	A2L6AMWVCFL7SJ	52	upv-combo	1	EDIT	General Motors postponed until January.
112	French	English	1742	elmundo/2009/12/11/10125	2	A2L6AMWVCFL7SJ	52	upv-combo	1	EDIT	While the workers at the Opel factory in Figueruelas (Zaragoza) have been warned by Nick Reilly, the new president of General Motors (GM) Europe, that the production of the new Meriva would be launched during the first week of April – probably the 8 – to Javier Ortega, the American manufacturer has warned that it will need more time to conclude the plan rescue Opel.
113	French	English	1743	elmundo/2009/12/11/10125	3	A2L6AMWVCFL7SJ	52	upv-combo	1	EDIT	Nick Reilly, the new president of GM Europe, has said that each point of the plan has been approved in advance by the party concerned.
114	French	English	1744	elmundo/2009/12/11/10125	4	A2L6AMWVCFL7SJ	52	upv-combo	1	EDIT	And this may mean that the final document, which will be submitted to workers and the governments of the countries where the are be postponed until early 2010.
115	French	English	1745	elmundo/2009/12/11/10125	5	A2L6AMWVCFL7SJ	52	upv-combo	1	EDIT	In contrast, GM, it ensures that a decision on the sale of Saab should be taken in the coming days.
116	French	English	2027	cincodias/2009/12/11/5334	69	A2L6AMWVCFL7SJ	6	cmu-heafield-combo	2	OK	Of course, to use a computer and an Internet connection is required.
117	French	English	2028	cincodias/2009/12/11/5334	70	A2L6AMWVCFL7SJ	6	cmu-heafield-combo	3	BAD	Once the model to repair identified through its chassis number, a graphic image of the model in question is then selects the necessary.
118	French	English	2029	cincodias/2009/12/11/5334	71	A2L6AMWVCFL7SJ	6	cmu-heafield-combo	1	EDIT	The user can include variables such as the price of labor, increases or reductions, then it can print the specifications for the client.
119	French	English	2030	cincodias/2009/12/11/5334	72	A2L6AMWVCFL7SJ	6	cmu-heafield-combo	2	OK	Audataller is not a tool to estimate as AudaPlus, but a catalogue of references.
120	French	English	2031	cincodias/2009/12/11/5334	73	A2L6AMWVCFL7SJ	6	cmu-heafield-combo	2	OK	The main difference between these two systems is that the garages does not include the time of Labour estimated.
121	Spanish	English	1955	cincodias/2009/12/10/53255	2	A2L6AMWVCFL7SJ	18	dfki	2	OK	The National Commission of the Stock Market (CNMV) authorized yesterday to the opa of exclusion presented by Investor Mer on Federico Paternina on the 9th of October.
122	Spanish	English	1956	cincodias/2009/12/10/53255	3	A2L6AMWVCFL7SJ	18	dfki	2	OK	The supervisory body has explained that authorizes this operation as it understands that their terms are adjusted to the existing rules and considers the contents of the presented explanatory brochure " sufficient " after the modifications introduced on 2 of December.
123	Spanish	English	1957	cincodias/2009/12/10/53255	4	A2L6AMWVCFL7SJ	18	dfki	1	EDIT	The CNMV has needed the offer to be addressed to the acquisition of 550.008 actions of Federico Paternina to a price of 7,65 euros by action, which represents 8,95% of its share capital, which is composed by 6.142.786 actions accepted to negotiation in the Bags of Madrid and Bilbao.
124	Spanish	English	1958	cincodias/2009/12/10/53255	5	A2L6AMWVCFL7SJ	18	dfki	1	EDIT	Likewise, it has explained that 5.592.778 million actions, which will not be able to be transmitted any way to the completion from the offer, of which it has specified that the price has been fixed by Federico Paternina, have been immobilized according to what has been arranged in the rules in force.
125	Spanish	English	1959	cincodias/2009/12/11/5334	1	A2L6AMWVCFL7SJ	18	dfki	1	EDIT	New tools to give an expert opinion on cars.
126	Spanish	English	694	washpost/2009/12/12/79407	27	A2L6AMWVCFL7SJ	37	onlineA	1	EDIT	Disappointing response is given.
127	Spanish	English	695	washpost/2009/12/12/79407	28	A2L6AMWVCFL7SJ	37	onlineA	1	EDIT	Although a rural town on the outskirts of Shanghai officials hold noted an increase in requests for couples who want a second child after the launch of the campaign, more urban districts do not indicate any change.
128	Spanish	English	696	washpost/2009/12/12/79407	29	A2L6AMWVCFL7SJ	37	onlineA	2	OK	The municipality of Huinan, with a population of 115,000, for example, still is receiving only four to five requests per month.
129	Spanish	English	697	washpost/2009/12/12/79407	30	A2L6AMWVCFL7SJ	37	onlineA	2	OK	Disappointed Shanghai officials say that, in spite of the campaign, even expected that the number of births in the city by 2010 only reaches more than 165,000 slightly to 2009, but less than the 2008.
130	Spanish	English	698	washpost/2009/12/12/79407	31	A2L6AMWVCFL7SJ	37	onlineA	2	OK	Feng Juying, head of the municipality Caolu in Shanghai, family planning Committee said that financial considerations are probably the main reason why many people don't want to more children.
131	Spanish	English	1000	lesechos/2009/12/11/218659	11	A2L6AMWVCFL7SJ	3	bbn-combo	2	OK	In this way, the technology stocks lost ground.
132	Spanish	English	1001	lesechos/2009/12/11/218659	12	A2L6AMWVCFL7SJ	3	bbn-combo	2	OK	The market fell.
133	Spanish	English	1002	lesechos/2009/12/11/218659	13	A2L6AMWVCFL7SJ	3	bbn-combo	2	OK	The yield on the 10-year Treasury bond rose to 3,540% against 3,482% on Wednesday evening, and the bond to 30 years to 4,497% against 4,492% the day before.
134	Spanish	English	1003	lesechos/2009/12/11/218658	1	A2L6AMWVCFL7SJ	3	bbn-combo	1	EDIT	The choice of Miss World again aroused in South Africa.
135	Spanish	English	1004	lesechos/2009/12/11/218658	2	A2L6AMWVCFL7SJ	3	bbn-combo	1	EDIT	After a month of a tour of South Africa, the 112 candidates for the title of Miss World are in the final straight to fulfill their dream: to be elected the most beautiful woman in the world of over one billion viewers.
136	Spanish	English	1855	cincodias/2009/12/10/53247	4	A2L6AMWVCFL7SJ	6	cmu-heafield-combo	2	OK	The agreement, which have not gone beyond the economic terms, has a duration of five years.
137	Spanish	English	1856	cincodias/2009/12/10/53247	5	A2L6AMWVCFL7SJ	6	cmu-heafield-combo	2	OK	On the other hand, Ferrovial, the board of Castilla - La Mancha and the University of Alcalá de Henares yesterday signed a protocol of cooperation to create the innovation centre of intelligent infrastructure
